"clie_ti";"cliente";"tipo_cliente";"fecha";"vigencia_tipo"
8816;6299;2;2014-12-16 00:00:00;
8817;6299;3;2014-12-16 00:00:00;2014-12-16 00:00:00
8818;6773;2;2016-08-23 00:00:00;2016-08-23 00:00:00
8819;6774;2;2016-08-23 00:00:00;2016-08-23 00:00:00
8820;6775;2;2016-08-29 00:00:00;2016-08-29 00:00:00
8821;6776;2;2016-08-23 00:00:00;2016-08-23 00:00:00
8822;6777;2;2016-08-24 00:00:00;2016-08-24 00:00:00
8823;6778;2;2016-08-24 00:00:00;2016-08-24 00:00:00
8824;6779;2;2016-08-25 00:00:00;2016-08-25 00:00:00
8825;6780;2;2016-08-30 00:00:00;2016-08-30 00:00:00
8826;6781;2;2016-08-30 00:00:00;2016-08-30 00:00:00
8827;4330;1;2011-08-30 00:00:00;2011-08-30 00:00:00
8828;6782;2;2016-08-30 00:00:00;2016-08-30 00:00:00
8829;6783;2;2016-09-05 00:00:00;2016-09-05 00:00:00
8830;6784;2;2016-09-03 00:00:00;2016-09-03 00:00:00
8831;6785;2;2016-09-06 00:00:00;2016-09-06 00:00:00
8832;6786;2;2016-09-07 00:00:00;2016-09-07 00:00:00
