"cliente";"vendedor";"fecha_ca";"vigencia_ve"
1618;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1619;0;2011-08-01 00:00:00;
1620;0;2011-08-01 00:00:00;
1621;0;2011-08-01 00:00:00;
1622;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1623;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1624;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1625;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1626;0;2011-08-01 00:00:00;
1627;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1628;0;2011-08-01 00:00:00;
1629;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1630;0;2011-08-01 00:00:00;
1631;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1632;0;2011-08-01 00:00:00;
1633;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1634;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1635;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1636;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1637;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1638;0;2011-08-01 00:00:00;
1639;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1640;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1641;0;2011-08-01 00:00:00;
1642;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1643;0;2011-08-01 00:00:00;
1644;0;2011-08-01 00:00:00;
1645;0;2011-08-01 00:00:00;
1646;0;2011-08-01 00:00:00;
1647;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1648;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1649;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1650;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1651;0;2011-08-01 00:00:00;
1652;0;2011-08-01 00:00:00;
1653;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1654;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1655;0;2011-08-01 00:00:00;
1656;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1657;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1658;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1659;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1660;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1661;0;2011-08-01 00:00:00;
1662;0;2011-08-01 00:00:00;
1663;0;2011-08-01 00:00:00;
1664;0;2011-08-01 00:00:00;
1665;0;2011-08-01 00:00:00;
1666;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1667;0;2011-08-01 00:00:00;
1668;0;2011-08-01 00:00:00;
1669;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1670;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1671;0;2011-08-01 00:00:00;
1672;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1673;0;2011-08-01 00:00:00;
1674;0;2011-08-01 00:00:00;
1675;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1676;0;2011-08-01 00:00:00;
1677;0;2011-08-01 00:00:00;
1678;0;2011-08-01 00:00:00;
1679;0;2011-08-01 00:00:00;
1680;0;2011-08-01 00:00:00;
1681;0;2011-08-01 00:00:00;
1682;0;2011-08-01 00:00:00;
1683;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1684;0;2011-08-01 00:00:00;
1685;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1686;0;2011-08-01 00:00:00;
1687;0;2011-08-01 00:00:00;
1688;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1689;0;2011-08-01 00:00:00;
1690;0;2011-08-01 00:00:00;
1691;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1692;0;2011-08-01 00:00:00;
1693;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1694;0;2011-08-01 00:00:00;
1695;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1696;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1697;0;2011-08-01 00:00:00;
1698;0;2011-08-01 00:00:00;
1699;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1700;0;2011-08-01 00:00:00;
1701;0;2011-08-01 00:00:00;
1702;0;2011-08-01 00:00:00;
1703;0;2011-08-01 00:00:00;
1704;0;2011-08-01 00:00:00;
1705;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1707;0;2011-08-01 00:00:00;
1708;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1709;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1710;0;2011-08-01 00:00:00;
1711;0;2011-08-01 00:00:00;
1712;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1713;0;2011-08-01 00:00:00;
1714;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1715;0;2011-08-01 00:00:00;
1716;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1717;0;2011-08-01 00:00:00;
1718;0;2011-08-01 00:00:00;
1719;0;2011-08-01 00:00:00;
1722;0;2011-08-01 00:00:00;
1723;0;2011-08-01 00:00:00;
1724;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1725;0;2011-08-01 00:00:00;
1726;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1727;0;2011-08-01 00:00:00;
1728;0;2011-08-01 00:00:00;
1729;0;2011-08-01 00:00:00;
1730;0;2011-08-01 00:00:00;
1731;0;2011-08-01 00:00:00;
1732;0;2011-08-01 00:00:00;
1733;0;2011-08-01 00:00:00;
1734;0;2011-08-01 00:00:00;
1735;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1736;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1737;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1738;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1739;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1740;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1741;0;2011-08-01 00:00:00;
1742;0;2011-08-01 00:00:00;
1743;0;2011-08-01 00:00:00;
1744;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1745;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1746;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1747;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1748;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1749;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1750;0;2011-08-01 00:00:00;
1751;0;2011-08-01 00:00:00;
1752;0;2011-08-01 00:00:00;
1753;0;2011-08-01 00:00:00;
1754;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1755;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1756;0;2011-08-01 00:00:00;
1757;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1758;0;2011-08-01 00:00:00;
1759;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1760;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1761;0;2011-08-01 00:00:00;
1762;0;2011-08-01 00:00:00;
1763;0;2011-08-01 00:00:00;
1764;0;2011-08-01 00:00:00;
1765;0;2011-08-01 00:00:00;
1766;0;2011-08-01 00:00:00;2011-08-01 00:00:00
1767;0;2011-08-01 00:00:00;
1768;0;2011-08-01 00:00:00;2011-08-01 00:00:00
