"vehi_id";"t_vehi";"m_vehi";"cant";"clie";"segmento";"t_activi"
254;1;25;2;5969;4;6
255;1;25;2;5283;4;6
256;7;25;52;5351;4;8
257;1;25;2;6278;4;6
258;7;25;60;5254;4;8
259;25;25;1;4798;3;17
260;25;25;1;4798;3;14
261;25;25;1;4798;3;18
262;25;25;1;4798;3;19
263;1;25;48;5420;2;7
264;10;25;20;5420;2;7
265;28;25;50;5420;2;7
266;25;25;4;1521;3;20
267;25;25;7;1521;3;10
268;25;25;3;1521;3;21
269;25;25;4;1521;3;22
270;25;25;1;1521;3;23
271;2;25;8;4657;4;6
272;13;25;45;5027;4;1
273;1;25;5;5274;4;6
274;8;25;23;3629;4;8
275;19;25;10;1831;4;8
276;19;25;15;6402;4;8
277;25;10;2;6130;4;7
278;25;26;2;6130;4;1
279;25;1;1;6130;4;15
280;25;25;1;6410;3;5
281;1;25;1;6411;3;5
282;1;25;1;6412;3;5
284;25;25;2;6555;4;1
285;25;25;12;6570;4;7
286;25;25;3;5036;4;7
288;25;8;6;6568;4;6
289;25;5;10;6568;4;6
290;25;5;2;3681;4;7
291;25;8;1;3681;4;7
293;25;12;5;6567;4;8
295;25;26;2;6563;4;8
296;25;25;4;6575;4;7
297;10;25;10;3979;4;7
298;25;25;40;3790;4;7
299;25;25;2;6610;4;7
300;25;26;2;6606;4;1
301;25;6;8;6604;4;7
302;25;5;3;6611;4;7
303;25;25;5;5737;4;6
304;25;6;1;6630;4;7
307;7;5;16;6656;4;8
308;25;26;1;6664;4;7
309;25;6;2;6664;4;7
310;1;5;2;6668;4;7
311;1;8;5;6713;4;8
313;29;13;10;6713;4;8
314;1;26;1;6714;4;6
315;1;25;1;6715;4;7
316;25;5;4;6723;4;6
317;25;5;2;6731;4;7
318;25;25;4;6733;4;1
319;25;5;4;6752;4;6
320;25;25;5;6749;4;7
321;25;26;30;6808;6;0
322;25;26;30;6808;6;0
323;1;25;10;6802;4;1
324;25;32;5;6768;4;7
325;25;6;5;4884;1;10
326;8;13;19;4454;4;8
329;2;11;20;7020;4;7
330;1;5;1;7018;4;6
331;1;5;3;7014;4;8
332;1;5;1;7012;4;1
333;1;8;1;7012;4;1
334;25;5;25;7010;4;8
335;1;9;2;7009;4;1
336;1;5;2;7009;4;1
337;1;6;2;7009;4;1
338;1;6;1;7007;4;1
339;1;5;1;6994;4;1
340;1;5;1;6991;4;7
341;1;31;2;6990;4;1
342;1;25;4;6989;4;1
